"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp tool0:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"","failed","27.09.2019 11:38","27.09.2019 11:38","8s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","27.09.2019 12:11","27.09.2019 12:11","22s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","27.09.2019 14:05","27.09.2019 14:06","45s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","27.09.2019 14:24","27.09.2019 14:32","8m17s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","27.09.2019 14:24","27.09.2019 14:24","18s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","27.09.2019 14:42","27.09.2019 14:58","15m43s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","MyNote","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","27.09.2019 14:48","27.09.2019 14:51","2m13s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","27.09.2019 14:54","27.09.2019 14:56","1m39s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","27.09.2019 15:12","27.09.2019 15:12","33s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 11:41","28.09.2019 11:41","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 13:49","28.09.2019 13:49","10s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 13:52","28.09.2019 13:52","5s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 14:15","28.09.2019 14:15","6s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 20:20","28.09.2019 20:21","36s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 20:21","28.09.2019 20:22","15s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","28.09.2019 20:24","28.09.2019 20:24","12s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","28.09.2019 20:26","28.09.2019 20:26","36s","02_CURA_2018_olepovani_AL_bezelu_65FX700_podlooka_BTM.gcode","-","-","-","-","","","-","-","-","-","-","55250.57","55250.57","-","-"
"","failed","28.09.2019 22:56","28.09.2019 22:56","35s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","success","29.09.2019 16:36","29.09.2019 16:40","3m35s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","success","29.09.2019 16:39","29.09.2019 16:41","1m54s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","29.09.2019 20:44","29.09.2019 20:51","7m0s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","success","30.09.2019 08:23","30.09.2019 08:25","1m32s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","success","30.09.2019 08:25","30.09.2019 08:27","1m31s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","success","30.09.2019 09:03","30.09.2019 09:40","36m14s","02_CURA_2018_olepovani_AL_bezelu_65FX700_podlooka_BTM.gcode","-","-","-","-","","","-","-","-","-","-","55250.57","55250.57","-","-"
"","failed","04.10.2019 17:49","04.10.2019 17:50","4s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 17:59","04.10.2019 17:59","4s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:02","04.10.2019 18:02","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:06","04.10.2019 18:06","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:19","04.10.2019 18:19","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:34","04.10.2019 18:34","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:37","04.10.2019 18:37","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:41","04.10.2019 18:41","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 18:43","04.10.2019 18:43","23s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","04.10.2019 19:19","04.10.2019 19:19","5s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 00:00","05.10.2019 00:01","11s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 00:11","05.10.2019 00:11","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 00:16","05.10.2019 00:16","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 00:17","05.10.2019 00:17","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 00:22","05.10.2019 00:22","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 10:16","05.10.2019 10:16","3s","AE10EFPI3_f51e2615-0835-476c-989f-18c7c7eeb2f4.gcode","-","-","-","-","","","-","-","-","-","-","210.83","210.83","-","-"
"","failed","05.10.2019 10:21","05.10.2019 10:21","3s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
"","failed","05.10.2019 10:29","05.10.2019 10:30","2s","CFFFP_13bf6b81-36ab-40b7-98b9-d82b2fb2a69c.gcode","-","-","-","-","","","-","-","-","-","-","912.75","912.75","-","-"
