"User","Print result [success canceled failed]","Start Datetime [dd.mm.yyyy hh:mm]","End Datetime [dd.mm.yyyy hh:mm]","Duration","File Name","File Path","File Size [bytes]","Layers [current / total]","Height [current / total]","Note","Temperatures [bed:temp toolX:temp]","Spool Vendor","Spool Name","Material","Diameter [mm]","Density [g/cm3]","Used Length [mm]","Calculated Length [mm]","Used Weight [g]","Used Filament Cost"
"admin","canceled","26.05.2021 21:06","26.05.2021 21:07","5s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","- / 16","2.0 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 21:06","26.05.2021 21:06","18s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","- / 16","0.3 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 21:03","26.05.2021 21:04","4s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","0 / 16","0.2 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 21:01","26.05.2021 21:01","3s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","-","-","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 21:00","26.05.2021 21:01","40s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","0 / 16","0.2 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 20:57","26.05.2021 20:57","5s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","- / 16","2.0 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","26.05.2021 20:55","26.05.2021 20:55","18s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","- / 16","0.3 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","25.05.2021 17:24","25.05.2021 17:35","10m44s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","6 / 16","1.4 / 3.2","-","bed:60.0 tool0:210.0 ","-","-","-","-","-","-","382.63","-","-"
"admin","canceled","25.05.2021 15:30","25.05.2021 15:30","12s","CE3_Sudo-bearings.aw.gcode","CE3_Sudo-bearings.aw.gcode","190065","- / 16","2.0 / 3.2","-","","-","-","-","-","-","-","382.63","-","-"
"_api","canceled","23.05.2021 08:24","23.05.2021 08:24","17s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","-","-","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 01:15","23.05.2021 01:15","23s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","-","-","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:44","23.05.2021 00:45","1m16s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","bed:60.0 tool0:200.0 ","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:40","23.05.2021 00:40","48s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:39","23.05.2021 00:39","31s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:37","23.05.2021 00:37","11s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","-","-","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:36","23.05.2021 00:37","32s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:24","23.05.2021 00:25","1m28s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","bed:60.0 tool0:200.0 ","-","-","-","-","-","-","0.00","-","-"
"_api","canceled","23.05.2021 00:21","23.05.2021 00:23","1m59s","AE10_4-Sided_Phone_Stand.gcode","AE10_4-Sided_Phone_Stand.gcode","1241841","0 / 259","0.3 / -","-","bed:60.0 tool0:200.0 ","-","-","-","-","-","-","0.00","-","-"
"admin","success","22.05.2021 23:14","22.05.2021 23:15","52s","m117TakeSnapshot.gcode","m117TakeSnapshot.gcode","191","-","-","-","","-","-","-","-","-","0.00","0.00","0.00","0.00"
